"INVENTORY REPORT","","","","","",""
"","","","","","",""
"Generated: 2025-09-03 17:59:16","","","","","",""
"","","","","","",""
"Part Number","Description","Available Qty","Open Orders","Earliest Delivery","Latest Delivery","Customer"
"20638","CUSHION, FUEL TANK ASSY","81350","1","2025-09-08","2025-09-29","Nifco Inc."
"22574","HOLDER, DOOR LOCK CONTROL KNOB","7200","1","2025-09-08","2025-09-29","Nifco Inc."
"23466","PROTECTOR, RR DOOR PANEL, RH","15360","1","2025-09-08","2025-09-29","Nifco Inc."
"23467","PROTECTOR, RR DOOR PANEL, LH","15360","1","2025-09-08","2025-09-29","Nifco Inc."
"24319","RETAINER, FUEL FILLER OPENING LID LOCK","10000","1","2025-09-08","2025-09-29","Nifco Inc."
"25146","CLAMP, FUEL TUBE, NO.1","10400","1","2025-09-08","2025-09-29","Nifco Inc."
"26792","COVER, BACK DOOR LOCK","5440","1","2025-09-08","2025-09-29","Nifco Inc."
"26833","SEAL, DOOR DUST PROOF","87000","1","2025-09-08","2025-09-29","Nifco Inc."
"27394","PANEL INST DR","480","1","2025-09-12","2025-09-12","Nifco Inc."
"27505","COVER, RR CNR RADAR L","960","1","2025-09-12","2025-09-12","Nifco Inc."
"27840","CLAMP, FUEL TUBE, NO.1","3600","1","2025-09-08","2025-09-29","Nifco Inc."
"27976","COVER, OUTER MIRROR INSTAL HOLR,RH","8424","1","2025-09-08","2025-09-29","Nifco Inc."
"27977","COVER, OUTER MIRROR INSTAL HOLR, LH","8424","1","2025-09-08","2025-09-29","Nifco Inc."
"28204","COVER, FORWARD RECOGNITION","14850","1","2025-09-08","2025-09-29","Nifco Inc."
"28247","COVER, RR CNR RADAR R","240","1","2025-09-05","2025-09-12","Nifco Inc."
"28248","COVER, RR CNR RADAR L","240","1","2025-09-05","2025-09-12","Nifco Inc."
